Doc No,Tran Type,Customer ID,Class,OrderDate,ShipDate,Terms,Ship Method,Line No,Item,Ordered,Shipped,BackOrder,BackOrder2,PricePer,Status,SalesRepID,CustomerType,DiscountAmount,SOAmount,SOPaymentAmount,Available,InvoiceNo
33105,Sales Order,6200,Retail:Online,5/8/2028,5/12/2028,Credit Card,Free Shipping,4,BAA0001,1,1,0,0,10,Closed,45,Retail,0,75.25,75.25,0,45877
33105,Sales Order,6200,Retail:Online,5/8/2028,5/12/2028,Credit Card,Free Shipping,2,DAC0101-0002,1,1,0,0,33.75,Closed,45,Retail,0,75.25,75.25,28,45877
33105,Sales Order,6200,Retail:Online,5/8/2028,5/12/2028,Credit Card,Free Shipping,1,ROD0001-0002,1,1,0,0,31.5,Closed,45,Retail,0,75.25,75.25,-3,45877
33105,Sales Order,6200,Retail:Online,5/8/2028,5/12/2028,Credit Card,Free Shipping,3,Shipping & Handling,1,1,0,0,0,Closed,45,Retail,0,75.25,75.25,0,45877
33106,Sales Order,6201,Retail:Online,5/8/2028,5/12/2028,Credit Card,USPS Priority,3,BAA0001,1,1,0,0,10,Closed,45,Retail,0,57.45,57.45,0,45841
33106,Sales Order,6201,Retail:Online,5/8/2028,5/12/2028,Credit Card,USPS Priority,1,TBK0030-0005-WP,1,1,0,0,40.5,Closed,45,Retail,0,57.45,57.45,2,45841
33106,Sales Order,6201,Retail:Online,5/8/2028,5/12/2028,Credit Card,USPS Priority,2,Shipping & Handling,1,1,0,0,6.95,Closed,45,Retail,0,57.45,57.45,0,45841
33107,Sales Order,6202,Retail:Online,5/8/2028,5/12/2028,Paypal,Free Shipping,4,BAA0001,1,1,0,0,10,Closed,45,Retail,0,80,80,0,45831
33107,Sales Order,6202,Retail:Online,5/8/2028,5/12/2028,Paypal,Free Shipping,1,TBK0172-0015,1,1,0,0,45,Closed,45,Retail,0,80,80,0,45831
33107,Sales Order,6202,Retail:Online,5/8/2028,5/12/2028,Paypal,Free Shipping,2,BRS-0005,2,2,0,0,12.5,Closed,45,Retail,0,80,80,5552.69,45831
33107,Sales Order,6202,Retail:Online,5/8/2028,5/12/2028,Paypal,Free Shipping,3,Shipping & Handling,1,1,0,0,0,Closed,45,Retail,0,80,80,0,45831
33108,Sales Order,6203,Retail:Online,5/8/2028,5/12/2028,Credit Card,USPS Priority,1,TBK0061-0156,1,1,0,0,71,Closed,45,Retail,0,78.75,78.75,0,45840
33108,Sales Order,6203,Retail:Online,5/8/2028,5/12/2028,Credit Card,USPS Priority,2,Shipping & Handling,1,1,0,0,7.75,Closed,45,Retail,0,78.75,78.75,0,45840
33109,Sales Order,6204,Retail:Online,5/8/2028,5/12/2028,Paypal,USPS Priority,1,DAC0741-0002,1,1,0,0,8,Closed,45,Retail,16,7.3,7.3,47,45788
33109,Sales Order,6204,Retail:Online,5/8/2028,5/12/2028,Paypal,USPS Priority,2,DAC0741-0004,1,1,0,0,8,Closed,45,Retail,16,7.3,7.3,78,45788
33109,Sales Order,6204,Retail:Online,5/8/2028,5/12/2028,Paypal,USPS Priority,3,Shipping & Handling,1,1,0,0,7.3,Closed,45,Retail,16,7.3,7.3,0,45788
33110,Sales Order,6205,Retail:Online,5/8/2028,5/12/2028,Paypal,USPS Priority,1,ROD0001-0014,1,1,0,0,31.5,Closed,45,Retail,0,38.45,38.45,0,45833
33110,Sales Order,6205,Retail:Online,5/8/2028,5/12/2028,Paypal,USPS Priority,2,Shipping & Handling,1,1,0,0,6.95,Closed,45,Retail,0,38.45,38.45,0,45833
33111,Sales Order,6206,Retail:Online,5/8/2028,5/12/2028,Credit Card,USPS Priority,1,DAC0741-0002,1,1,0,0,8,Closed,45,Retail,8,82.15,82.15,47,45919
33111,Sales Order,6206,Retail:Online,5/8/2028,5/12/2028,Credit Card,USPS Priority,2,ROD0100-0202,1,1,0,0,69.75,Closed,45,Retail,8,82.15,82.15,1,45919
33111,Sales Order,6206,Retail:Online,5/8/2028,5/12/2028,Credit Card,USPS Priority,3,Shipping & Handling,1,1,0,0,12.4,Closed,45,Retail,8,82.15,82.15,0,45919
33112,Sales Order,6207,Retail:Online,5/8/2028,5/12/2028,Credit Card,USPS Priority,1,DAC0741-0002,1,1,0,0,8,Closed,45,Retail,8,61.1,61.1,47,45839
33112,Sales Order,6207,Retail:Online,5/8/2028,5/12/2028,Credit Card,USPS Priority,2,TBK0201-0151,1,1,0,0,41.75,Closed,45,Retail,8,61.1,61.1,0,45839
33112,Sales Order,6207,Retail:Online,5/8/2028,5/12/2028,Credit Card,USPS Priority,3,BRS-0003,1,1,0,0,8,Closed,45,Retail,8,61.1,61.1,4701,45839
33112,Sales Order,6207,Retail:Online,5/8/2028,5/12/2028,Credit Card,USPS Priority,4,Shipping & Handling,1,1,0,0,11.35,Closed,45,Retail,8,61.1,61.1,0,45839
33113,Sales Order,6208,Retail:Online,5/8/2028,5/12/2028,Credit Card,Free Shipping,2,DAC0741-0002,1,1,0,0,8,Closed,45,Retail,8,67.5,67.5,47,45794
33113,Sales Order,6208,Retail:Online,5/8/2028,5/12/2028,Credit Card,Free Shipping,1,TBK0050-0001-BK,1,1,0,0,67.5,Closed,45,Retail,8,67.5,67.5,0,45794
33113,Sales Order,6208,Retail:Online,5/8/2028,5/12/2028,Credit Card,Free Shipping,3,Shipping & Handling,1,1,0,0,0,Closed,45,Retail,8,67.5,67.5,0,45794
33114,Sales Order,6209,Retail:Online,5/8/2028,5/12/2028,Credit Card,USPS Priority,3,BAA0001,1,1,0,0,10,Closed,45,Retail,0,49.35,49.35,0,45908
33114,Sales Order,6209,Retail:Online,5/8/2028,5/12/2028,Credit Card,USPS Priority,1,ROD0001-0002,1,1,0,0,31.5,Closed,45,Retail,0,49.35,49.35,-3,45908
33114,Sales Order,6209,Retail:Online,5/8/2028,5/12/2028,Credit Card,USPS Priority,2,Shipping & Handling,1,1,0,0,7.85,Closed,45,Retail,0,49.35,49.35,0,45908
33115,Sales Order,6210,Retail:Online,5/8/2028,5/12/2028,Credit Card,Free Shipping,6,BAA0001,1,1,0,0,10,Closed,45,Retail,18.04,82.34,82.34,0,45853
33115,Sales Order,6210,Retail:Online,5/8/2028,5/12/2028,Credit Card,Free Shipping,7,BAA0012,2,2,0,0,5,Closed,45,Retail,18.04,82.34,82.34,0,45853
33115,Sales Order,6210,Retail:Online,5/8/2028,5/12/2028,Credit Card,Free Shipping,2,DAC0741-0015,1,1,0,0,8,Closed,45,Retail,18.04,82.34,82.34,75,45853
33115,Sales Order,6210,Retail:Online,5/8/2028,5/12/2028,Credit Card,Free Shipping,4,RVRR-1302,1,1,0,0,25,Closed,45,Retail,18.04,82.34,82.34,1,45853
33115,Sales Order,6210,Retail:Online,5/8/2028,5/12/2028,Credit Card,Free Shipping,1,TBK0200-0015-DG,1,1,0,0,39.38,Closed,45,Retail,18.04,82.34,82.34,0,45853
33115,Sales Order,6210,Retail:Online,5/8/2028,5/12/2028,Credit Card,Free Shipping,3,BRS-0004,1,1,0,0,8,Closed,45,Retail,18.04,82.34,82.34,-47,45853
33115,Sales Order,6210,Retail:Online,5/8/2028,5/12/2028,Credit Card,Free Shipping,5,Shipping & Handling,1,1,0,0,0,Closed,45,Retail,18.04,82.34,82.34,0,45853
33116,Sales Order,6779,Retail:Online,5/8/2028,5/12/2028,Credit Card,USPS Priority,1,DAC0741-0001,1,1,0,0,8,Closed,45,Retail,8,52.4,52.4,61,45806
33116,Sales Order,6779,Retail:Online,5/8/2028,5/12/2028,Credit Card,USPS Priority,2,RCJ0102-34WILD,1,1,0,0,40,Closed,45,Retail,8,52.4,52.4,0,45806
33116,Sales Order,6779,Retail:Online,5/8/2028,5/12/2028,Credit Card,USPS Priority,3,Shipping & Handling,1,1,0,0,12.4,Closed,45,Retail,8,52.4,52.4,0,45806
33117,Sales Order,6211,Retail:Online,5/8/2028,5/12/2028,Credit Card,Free Shipping,3,RVRF-1331,1,1,0,0,55,Closed,45,Retail,11.25,101.25,101.25,5,45907
33117,Sales Order,6211,Retail:Online,5/8/2028,5/12/2028,Credit Card,Free Shipping,1,TBK0172-0002-DG,1,1,0,0,45,Closed,45,Retail,11.25,101.25,101.25,-1,45907
33117,Sales Order,6211,Retail:Online,5/8/2028,5/12/2028,Credit Card,Free Shipping,2,BRS-0006,1,1,0,0,12.5,Closed,45,Retail,11.25,101.25,101.25,3745,45907
33117,Sales Order,6211,Retail:Online,5/8/2028,5/12/2028,Credit Card,Free Shipping,4,Shipping & Handling,1,1,0,0,0,Closed,45,Retail,11.25,101.25,101.25,0,45907
33118,Sales Order,6212,Retail:Online,5/8/2028,5/12/2028,Credit Card,USPS Priority,1,TBK0205-0001-HS,1,1,0,0,55.13,Closed,45,Retail,0,66.48,66.48,0,45813
33118,Sales Order,6212,Retail:Online,5/8/2028,5/12/2028,Credit Card,USPS Priority,2,Shipping & Handling,1,1,0,0,11.35,Closed,45,Retail,0,66.48,66.48,0,45813
33119,Sales Order,5830,Retail:Online,5/8/2028,5/12/2028,Paypal,USPS Priority,1,TBK0040-0001-BK,1,1,0,0,54,Closed,45,Retail,0,61.85,61.85,50,45807
33119,Sales Order,5830,Retail:Online,5/8/2028,5/12/2028,Paypal,USPS Priority,2,Shipping & Handling,1,1,0,0,7.85,Closed,45,Retail,0,61.85,61.85,0,45807
33120,Sales Order,6213,Retail:Online,5/8/2028,5/12/2028,Credit Card,Free Shipping,3,BAA0001,1,1,0,0,10,Closed,45,Retail,0,133.75,133.75,0,45901
33120,Sales Order,6213,Retail:Online,5/8/2028,5/12/2028,Credit Card,Free Shipping,1,ROF0030-0202,1,1,0,0,123.75,Closed,45,Retail,0,133.75,133.75,-2,45901
33120,Sales Order,6213,Retail:Online,5/8/2028,5/12/2028,Credit Card,Free Shipping,2,Shipping & Handling,1,1,0,0,0,Closed,45,Retail,0,133.75,133.75,0,45901
33121,Sales Order,6214,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,1,TBK0241-0002,1,1,0,0,31.5,Closed,45,Retail,0,39.35,39.35,0,45890
33121,Sales Order,6214,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,2,Shipping & Handling,1,1,0,0,7.85,Closed,45,Retail,0,39.35,39.35,0,45890
33122,Sales Order,6215,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,2,DAC0741-0003,1,1,0,0,8,Closed,45,Retail,8,67.5,67.5,80,45844
33122,Sales Order,6215,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,1,TBK0060-0003,1,1,0,0,67.5,Closed,45,Retail,8,67.5,67.5,10,45844
33122,Sales Order,6215,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,3,Shipping & Handling,1,1,0,0,0,Closed,45,Retail,8,67.5,67.5,0,45844
33123,Sales Order,6216,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,3,BAA0001,1,1,0,0,10,Closed,45,Retail,0,62.85,62.85,0,45892
33123,Sales Order,6216,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,1,TBK0172-0002,1,1,0,0,45,Closed,45,Retail,0,62.85,62.85,-1,45892
33123,Sales Order,6216,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,2,Shipping & Handling,1,1,0,0,7.85,Closed,45,Retail,0,62.85,62.85,0,45892
33124,Sales Order,6217,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,4,BAA0001,2,2,0,0,10,Closed,45,Retail,0,70.55,70.55,0,45912
33124,Sales Order,6217,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,1,TBK0216-0002,1,1,0,0,33.75,Closed,45,Retail,0,70.55,70.55,2,45912
33124,Sales Order,6217,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,2,BRS-0009,1,1,0,0,9.75,Closed,45,Retail,0,70.55,70.55,1096,45912
33124,Sales Order,6217,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,3,Shipping & Handling,1,1,0,0,7.05,Closed,45,Retail,0,70.55,70.55,0,45912
33125,Sales Order,6218,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,3,BAA0001,1,1,0,0,10,Closed,45,Retail,0,57.8,57.8,0,45915
33125,Sales Order,6218,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,1,TBK0030-0002-BK,1,1,0,0,40.5,Closed,45,Retail,0,57.8,57.8,0,45915
33125,Sales Order,6218,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,2,Shipping & Handling,1,1,0,0,7.3,Closed,45,Retail,0,57.8,57.8,0,45915
33126,Sales Order,6219,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,3,BAA0001,2,2,0,0,10,Closed,45,Retail,0,85.25,85.25,0,45854
33126,Sales Order,6219,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,1,ROF0050-0101,1,1,0,0,65.25,Closed,45,Retail,0,85.25,85.25,2,45854
33126,Sales Order,6219,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,2,Shipping & Handling,1,1,0,0,0,Closed,45,Retail,0,85.25,85.25,0,45854
33127,Sales Order,6220,Retail:Online,5/9/2028,5/13/2028,Credit Card,UPS 2nd Day,3,BAA0001,1,1,0,0,10,Closed,45,Retail,0,84.99,84.99,0,45828
33127,Sales Order,6220,Retail:Online,5/9/2028,5/13/2028,Credit Card,UPS 2nd Day,1,TBK0172-0001,1,1,0,0,45,Closed,45,Retail,0,84.99,84.99,7,45828
33127,Sales Order,6220,Retail:Online,5/9/2028,5/13/2028,Credit Card,UPS 2nd Day,2,Shipping & Handling,1,1,0,0,29.99,Closed,45,Retail,0,84.99,84.99,0,45828
33128,Sales Order,6221,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,2,DAC0741-0002,1,1,0,0,8,Closed,45,Retail,8,47.13,47.13,47,45812
33128,Sales Order,6221,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,3,TBK0210-0002,1,1,0,0,25.88,Closed,45,Retail,8,47.13,47.13,0,45812
33128,Sales Order,6221,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,1,BRS-0008,2,2,0,0,5.5,Closed,45,Retail,8,47.13,47.13,0,45812
33128,Sales Order,6221,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,4,Shipping & Handling,1,1,0,0,10.25,Closed,45,Retail,8,47.13,47.13,0,45812
33129,Sales Order,6222,Retail:Online,5/9/2028,5/13/2028,Paypal,USPS Priority,4,BAA0001,1,1,0,0,10,Closed,45,Retail,8,91.95,91.95,0,45968
33129,Sales Order,6222,Retail:Online,5/9/2028,5/13/2028,Paypal,USPS Priority,5,BAA0012,1,1,0,0,5,Closed,45,Retail,8,91.95,91.95,0,45968
33129,Sales Order,6222,Retail:Online,5/9/2028,5/13/2028,Paypal,USPS Priority,1,DAC0741-0004,1,1,0,0,8,Closed,45,Retail,8,91.95,91.95,78,45968
33129,Sales Order,6222,Retail:Online,5/9/2028,5/13/2028,Paypal,USPS Priority,2,TBK0060-0002,1,1,0,0,67.5,Closed,45,Retail,8,91.95,91.95,-2,45968
33129,Sales Order,6222,Retail:Online,5/9/2028,5/13/2028,Paypal,USPS Priority,3,Shipping & Handling,1,1,0,0,9.45,Closed,45,Retail,8,91.95,91.95,0,45968
33130,Sales Order,6223,Retail:Online,5/9/2028,5/13/2028,Paypal,USPS Priority,1,ROD0001-0002,1,1,0,0,31.5,Closed,45,Retail,0,38.35,38.35,-3,45966
33130,Sales Order,6223,Retail:Online,5/9/2028,5/13/2028,Paypal,USPS Priority,2,Shipping & Handling,1,1,0,0,6.85,Closed,45,Retail,0,38.35,38.35,0,45966
33131,Sales Order,6224,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,3,BAA0001,1,1,0,0,10,Closed,45,Retail,0,61.85,61.85,0,45868
33131,Sales Order,6224,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,1,TBK0172-0004,1,1,0,0,45,Closed,45,Retail,0,61.85,61.85,0,45868
33131,Sales Order,6224,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,2,Shipping & Handling,1,1,0,0,6.85,Closed,45,Retail,0,61.85,61.85,0,45868
33132,Sales Order,6225,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,1,TBK0205-0014-HS-DG,1,1,0,0,55.13,Closed,45,Retail,0,62.88,62.88,0,45843
33132,Sales Order,6225,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,2,Shipping & Handling,1,1,0,0,7.75,Closed,45,Retail,0,62.88,62.88,0,45843
33133,Sales Order,6226,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,4,BAA0001,1,1,0,0,10,Closed,45,Retail,8,82.5,82.5,0,45976
33133,Sales Order,6226,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,5,BAA0012,1,1,0,0,5,Closed,45,Retail,8,82.5,82.5,0,45976
33133,Sales Order,6226,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,2,DAC0741-0002,1,1,0,0,8,Closed,45,Retail,8,82.5,82.5,47,45976
33133,Sales Order,6226,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,1,TBK0050-0001-WP,1,1,0,0,67.5,Closed,45,Retail,8,82.5,82.5,60,45976
33133,Sales Order,6226,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,3,Shipping & Handling,1,1,0,0,0,Closed,45,Retail,8,82.5,82.5,0,45976
33134,Sales Order,6227,Retail:Online,5/9/2028,5/13/2028,Paypal,Free Shipping,3,BAA0001,1,1,0,0,10,Closed,45,Retail,0,77.5,77.5,0,45830
33134,Sales Order,6227,Retail:Online,5/9/2028,5/13/2028,Paypal,Free Shipping,1,TBK0060-0004,1,1,0,0,67.5,Closed,45,Retail,0,77.5,77.5,0,45830
33134,Sales Order,6227,Retail:Online,5/9/2028,5/13/2028,Paypal,Free Shipping,2,Shipping & Handling,1,1,0,0,0,Closed,45,Retail,0,77.5,77.5,0,45830
33135,Sales Order,4993,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,3,DAC0050-0101,1,1,0,0,22.5,Closed,45,Promotional,0,94,94,1,45866
33135,Sales Order,4993,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,4,RPF102,1,1,0,0,14,Closed,45,Promotional,0,94,94,13,45866
33135,Sales Order,4993,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,1,TBK0172-0001,1,1,0,0,45,Closed,45,Promotional,0,94,94,7,45866
33135,Sales Order,4993,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,2,BRS-0005,1,1,0,0,12.5,Closed,45,Promotional,0,94,94,5552.69,45866
33135,Sales Order,4993,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,5,Shipping & Handling,1,1,0,0,0,Closed,45,Promotional,0,94,94,0,45866
33136,Sales Order,6228,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,1,TBK0170-0004,1,1,0,0,35,Closed,45,Retail,0,45.25,45.25,1,45980
33136,Sales Order,6228,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,2,Shipping & Handling,1,1,0,0,10.25,Closed,45,Retail,0,45.25,45.25,0,45980
33137,Sales Order,6229,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,3,BAA0001,1,1,0,0,10,Closed,45,Retail,0,78,78,0,45916
33137,Sales Order,6229,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,4,BAA0012,1,1,0,0,5,Closed,45,Retail,0,78,78,0,45916
33137,Sales Order,6229,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,1,RPH0020-0002-WP,1,1,0,0,63,Closed,45,Retail,0,78,78,0,45916
33137,Sales Order,6229,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,2,Shipping & Handling,1,1,0,0,0,Closed,45,Retail,0,78,78,0,45916
33138,Sales Order,6230,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,5,BAA0001,1,1,0,0,10,Closed,45,Retail,8,67.5,67.5,0,45971
33138,Sales Order,6230,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,3,DAC0741-0001,1,1,0,0,8,Closed,45,Retail,8,67.5,67.5,61,45971
33138,Sales Order,6230,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,1,TBK0172-0002,1,1,0,0,45,Closed,45,Retail,8,67.5,67.5,-1,45971
33138,Sales Order,6230,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,2,BRS-0005,1,1,0,0,12.5,Closed,45,Retail,8,67.5,67.5,5552.69,45971
33138,Sales Order,6230,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,4,Shipping & Handling,1,1,0,0,0,Closed,45,Retail,8,67.5,67.5,0,45971
33139,Sales Order,6231,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,3,BAA0001,2,2,0,0,10,Closed,45,Retail,0,93,93,0,45895
33139,Sales Order,6231,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,1,ROF0050-0202,1,1,0,0,65.25,Closed,45,Retail,0,93,93,0,45895
33139,Sales Order,6231,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,2,Shipping & Handling,1,1,0,0,7.75,Closed,45,Retail,0,93,93,0,45895
33140,Sales Order,6232,Retail:Online,5/9/2028,5/13/2028,Paypal,Free Shipping,4,BAA0001,2,2,0,0,10,Closed,45,Retail,0,92,92,0,45965
33140,Sales Order,6232,Retail:Online,5/9/2028,5/13/2028,Paypal,Free Shipping,2,DAC0108-0001,1,1,0,0,33.75,Closed,45,Retail,0,92,92,1,45965
33140,Sales Order,6232,Retail:Online,5/9/2028,5/13/2028,Paypal,Free Shipping,1,ROD0010-0001,1,1,0,0,38.25,Closed,45,Retail,0,92,92,91,45965
33140,Sales Order,6232,Retail:Online,5/9/2028,5/13/2028,Paypal,Free Shipping,3,Shipping & Handling,1,1,0,0,0,Closed,45,Retail,0,92,92,0,45965
33141,Sales Order,1979,Employee,5/9/2028,5/9/2028,Credit Card,Pick Up,1,ROF0031-0001,1,1,0,0,10.83,Closed,7,Retail,0,10.83,10.83,9,
33142,Sales Order,3037,Dropship,5/9/2028,5/16/2028,Net 30,USPS Priority,2,BAA0001,1,1,0,0,8,Closed,7,Dropship,0,58.95,0,0,45969
33142,Sales Order,3037,Dropship,5/9/2028,5/16/2028,Net 30,USPS Priority,3,BAA0001,1,1,0,0,0,Closed,7,Dropship,0,58.95,0,0,45969
33142,Sales Order,3037,Dropship,5/9/2028,5/16/2028,Net 30,USPS Priority,1,TBK0080-0002,1,1,0,0,45,Closed,7,Dropship,0,58.95,0,0,45969
33142,Sales Order,3037,Dropship,5/9/2028,5/16/2028,Net 30,USPS Priority,4,Drop Ship Charge,1,1,0,0,5.95,Closed,7,Dropship,0,58.95,0,0,45969
33143,Sales Order,3444,Promotional,5/9/2028,5/11/2028,Credit Card,UPS Ground,8,DAC0131-0001,1,1,0,0,4.16,Closed,37,Promotional,0,279.76,0,6,45848
33143,Sales Order,3444,Promotional,5/9/2028,5/11/2028,Credit Card,UPS Ground,9,DAC0131-0002,1,1,0,0,4.16,Closed,37,Promotional,0,279.76,0,0,45848
33143,Sales Order,3444,Promotional,5/9/2028,5/11/2028,Credit Card,UPS Ground,7,DAC0131-0003,1,1,0,0,4.16,Closed,37,Promotional,0,279.76,0,8,45848
33143,Sales Order,3444,Promotional,5/9/2028,5/11/2028,Credit Card,UPS Ground,10,DAC0131-0014,1,1,0,0,4.16,Closed,37,Promotional,0,279.76,0,1,45848
33143,Sales Order,3444,Promotional,5/9/2028,5/11/2028,Credit Card,UPS Ground,12,DAC0132-0001,1,1,0,0,4.16,Closed,37,Promotional,0,279.76,0,8,45848
33143,Sales Order,3444,Promotional,5/9/2028,5/11/2028,Credit Card,UPS Ground,13,DAC0132-0002,1,1,0,0,4.16,Closed,37,Promotional,0,279.76,0,0,45848
33143,Sales Order,3444,Promotional,5/9/2028,5/11/2028,Credit Card,UPS Ground,11,DAC0132-0003,1,1,0,0,4.16,Closed,37,Promotional,0,279.76,0,25,45848
33143,Sales Order,3444,Promotional,5/9/2028,5/11/2028,Credit Card,UPS Ground,14,DAC0132-0014,1,1,0,0,4.16,Closed,37,Promotional,0,279.76,0,0,45848
33143,Sales Order,3444,Promotional,5/9/2028,5/11/2028,Credit Card,UPS Ground,4,DAC0133-0001,1,1,0,0,8.32,Closed,37,Promotional,0,279.76,0,2,45848
33143,Sales Order,3444,Promotional,5/9/2028,5/11/2028,Credit Card,UPS Ground,5,DAC0133-0002,1,1,0,0,8.32,Closed,37,Promotional,0,279.76,0,80,45848
33143,Sales Order,3444,Promotional,5/9/2028,5/11/2028,Credit Card,UPS Ground,3,DAC0133-0003,1,1,0,0,8.32,Closed,37,Promotional,0,279.76,0,0,45848
33143,Sales Order,3444,Promotional,5/9/2028,5/11/2028,Credit Card,UPS Ground,6,DAC0133-0014,1,1,0,0,8.32,Closed,37,Promotional,0,279.76,0,1,45848
33143,Sales Order,3444,Promotional,5/9/2028,5/11/2028,Credit Card,UPS Ground,2,DAC0201-0262,1,1,0,0,93.6,Closed,37,Promotional,0,279.76,0,0,45848
33143,Sales Order,3444,Promotional,5/9/2028,5/11/2028,Credit Card,UPS Ground,1,DAC0211-0262,1,1,0,0,119.6,Closed,37,Promotional,0,279.76,0,2,45848
